Image Filename,Latin Name,English Name,Location
Sclerophrys_blanfordii.PNG,Sclerophrys blanfordii,Blanford’s Toad,"Awdal, Bari, Nugaal, Sanaag, Sool, Woqooyi Galbeed"
Sclerophrys_dodsoni.PNG,Sclerophrys dodsoni,Dodson’s Toad,"Awdal, Bari, Galguduud, Mudug, Nugaal, Sanaag, Togdheer, Woqooyi Galbeed"
Sclerophrys_garmani.PNG,Sclerophrys garmani,Garman’s Toad,"Awdal, Woqooyi Galbeed"
Sclerophrys_steindachneri.PNG,Sclerophrys steindachneri,Steindachner’s Toad,"Jubbada Dhexe, Jubbada Hoose"
Sclerophrys_xeros.PNG,Sclerophrys xeros,Desert Toad,"Bakool, Banaadir, Bay, Galguduud, Gedo, Hiiraan, Jubbada Dhexe, Jubbada Hoose, Mudug, Shabeellaha Dhexe, Shabeellaha Hoose   "
Mertensophryne_lughensis.PNG,Mertensophryne lughensis,Lugh Pygmy Toad,"Awdal, Bakool, Bari, Bay, Gedo, Jubbada Dhexe, Jubbada Hoose, Mudug, Nugaal, Shabeellaha Dhexe, Shabeellaha Hoose, Woqooyi Galbeed    "
Phrynomantis_somalicus.PNG,Phrynomantis somalicus,Somali Rubber Frog,"Bay, Shabeellaha Dhexe, Shabeellaha Hoose"
Phrynomantis_bifasciatus.PNG,Phrynomantis bifasciatus,Red-Banded Rubber Frog,Jubbada Hoose
Hemisus_marmoratus.PNG,Hemisus marmoratus,Marbled Piglet Frog,"Bay, Jubbada Hoose"
Kassina_maculifer.PNG,Kassina maculifer,"Spotted Running Frog, Spotted Kassina","Bari, Nugaal, Jubbada Dhexe"
Kassina_senegalensis.PNG,Kassina senegalensis,"Senegal Running Frog, Senegal Kassina",
Kassina_somalica.PNG,Kassina somalica,Somali Kassina,"Bari, Gedo,  Jubbada Dhexe, Jubbada Hoose, Nugaal, Sanaag, Shabeellaha Dhexe, Shabeellaha Hoose   "
Afrixalus_delicatus.PNG,Afrixalus delicatus,Delicate Spiny Reed Frog,Jubbada Hoose
Hyperolius_viridiflavus.PNG,Hyperolius viridiflavus,Common Reed Frog,"Jubbada Dhexe, Jubbada Hoose, Shabeellaha Dhexe, Shabeellaha Hoose"
Hyperolius_pusillus.PNG,Hyperolius pusillus,Water Lily Reed Frog,Jubbada Hoose
Hyperolius_howelli.PNG,Hyperolius howelli,Kim Howell’s Reed Frog,Jubbada Hoose
Hyperolius_argus.PNG,Hyperolius argus,Argus Reed Frog,"Jubbada Dhexe, Jubbada Hoose"
Hyperolius_tuberilinguis.PNG,Hyperolius tuberilinguis,Tinker Reed Frog,Jubbada Hoose
Leptopelis_concolor.PNG,Leptopelis concolor,"Witu Tree Frog, Uniform Tree Frog",Jubbada Hoose
Phrynobatrachus_mababiensis.PNG,Phrynobatrachus mababiensis,Mababe Puddle Frog,Jubbada Hoose
Phrynobatrachus_acridoides.PNG,Phrynobatrachus acridoides,East African Puddle Frog,"Jubbada Dhexe, Jubbada Hoose, Shabeellaha Hoose"
Hildebrandtia_macrotympanum.PNG,Hildebrandtia macrotympanum,Northern Ornate Frog,"Banaadir, Bari, Bay, Gedo, Shabeellaha Hoose   "
Lanzarana_argeni.PNG,Lanzarana largeni,Lanza’s Frog," Bari, Gedo, Nugaal, Shabeellaha Hoose, Sool"
Ptychadena_anchietae.PNG,Ptychadena anchietae,Anchieta’s Rocket Frog,"Awdal, Bakool, Bari, Bay, Gedo, Sanaag, Shabeellaha Hoose,  Togdheer, Woqooyi Galbeed"
Ptychadena_gansi.PNG,Ptychadena gansi,Somali Rocket Frog,"Bay, Jubbada Dhexe, Jubbada Hoose, Shabeellaha Dhexe, Shabeellaha Hoose"
Ptychadena_schillukorum.PNG,Ptychadena schillukorum,Schilluk Rocket Frog,"Banaadir, Gedo, Jubbada Dhexe, Jubbada Hoose, Shabeellaha Dhexe, Shabeellaha Hoose"
Pyxicephalus_edulis.PNG,Pyxicephalus edulis,Edible Bullfrog,"Bay, Jubbada Dhexe, Jubbada Hoose, Shabeellaha Hoose"
Pyxicephalus_obbianus.PNG,Pyxicephalus obbianus,Obbia Bullfrog,"Bari, Galguduud, Mudug,  Sool"
Tomopterna_elegans.PNG,Tomopterna elegans,Elegant Sand Frog,"Bari, Nugaal, Sanaag, Sool"
Tomopterna_kachowskii.PNG,Tomopterna kachowskii,Kachowski’s Sand Frog,"Awdal, Woqooyi Galbeed"
Tomopterna_tandyi.PNG,Tomopterna tandyi ,Tandy’s Sand Frog,"Bakool, Banaadir, Bay, Gedo, Hiiraan, Shabeellaha Dhexe, Shabeellaha Hoose   "
Amnirana_galamensis.PNG,Amnirana galamensis,"Galam White-Lipped Frog, Golden White-Lipped Frog","Hiiraan, Jubbada Dhexe, Shabeellaha Dhexe, Shabeellaha Hoose"
Chiromantis_xerampelina.PNG,Chiromantis xerampelina,Southern Foam-Nest Frog,Jubbada Hoose
Chiromantis_kelleri.PNG,Chiromantis kelleri,Keller’s Foam-Nest Frog,"Awdal, Bari, Gedo, Jubbada Dhexe, Mudug,  Sanaag, Shabeellaha Dhexe, Shabeellaha Hoose, Togdheer, Woqooyi Galbeed"
